Year,Species Common,Estimated Exvessel Value (nominal),Number Of Fish,Pounds
1975,Chinook,5141671.43,455173,7189626
1975,Chum,11094258.9,4322689,32070252
1975,Coho,4371100.89,1011015,7667824
1975,Pink,16166784.16,12987397,49962242
1975,Sockeye,19306435.22,7458342,42856261
1976,Chinook,9156117.08,531442,8948109
1976,Chum,19441799.34,5924098,47661013
1976,Coho,10414628.88,1430100,11152089
1976,Pink,35263160.88,24755133,102408800
1976,Sockeye,45355237.04,11779393,75673736
1977,Chinook,15427612.4,619961,12101268
1977,Chum,29532218.43,7325863,60561430
1977,Coho,15639185.97,1788691,15273942
1977,Pink,45980660.67,28554911,129275813
1977,Sockeye,69587853.14,12464692,89771264
1978,Chinook,20291841.48,835327,16293287
1978,Chum,24852939.83,6674564,52581544
1978,Coho,22183881.22,2818642,19958132
1978,Pink,61209413.92,53728919,183583249
1978,Sockeye,112723980.1,18137969,116751745
1979,Chinook,21878942.19,777802,14092420
1979,Chum,28324285.55,5603674,43497495
1979,Coho,30255387.63,3114490,22964863
1979,Pink,74247111.02,49874090,185936613
1979,Sockeye,186647345,28687532,171600432
1980,Chinook,17732718.04,672229,12462562
1980,Chum,32034648.33,9594670,71731320
1980,Coho,17920515.15,3112908,22410268
1980,Pink,76619910.42,62932782,216707578
1980,Sockeye,109501731.5,33283521,186643948
1981,Chinook,23666015.18,820513,15695221
1981,Chum,47542939.7,12607015,99496073
1981,Coho,23613738.51,3408323,25767321
1981,Pink,104543999,59225178,241760072
1981,Sockeye,196242980.6,36337544,225889489
1982,Chinook,26949254.14,875630,16878044
1982,Chum,38937964.26,10988502,90551319
1982,Coho,39971872.65,6035183,46473669
1982,Pink,46484808.82,63490064,214536532
1982,Sockeye,155799366,28944666,188470201
1983,Chinook,18217788.67,827370,15667660
1983,Chum,24980175.35,10217534,79084132
1983,Coho,16137918.71,3634973,26734967
1983,Pink,48000676.64,60346702,194083409
1983,Sockeye,212750770.8,52861150,305563423
1984,Chinook,21728908.98,664344,12492339
1984,Chum,35877074.36,12632682,99935208
1984,Coho,42906099.23,5376021,44601442
1984,Pink,69834199.61,75752728,274638103
1984,Sockeye,171965648.9,38439981,222774202
1985,Chinook,20791819.66,720872,13491670
1985,Chum,33076036.3,10581804,83445953
1985,Coho,42676179.36,5744094,47388576
1985,Pink,70620869.07,89062838,299593408
1985,Sockeye,218154604.2,38951987,221453655
1986,Chinook,17712256.46,615040,11682179
1986,Chum,34367699.98,12501763,97035182
1986,Coho,42003905.73,6291412,46593635
1986,Pink,62006080.06,77276105,259153253
1986,Sockeye,277735594.3,32176350,194373576
1987,Chinook,26754785.4,680008,13255559
1987,Chum,37073796.11,10511059,80237157
1987,Coho,28701265.02,3486016,25253126
1987,Pink,68984423.48,46416502,164523691
1987,Sockeye,347848068.4,35398491,224624656
1988,Chinook,29479896.57,585929,10854123
1988,Chum,105416849.2,15085253,121497195
1988,Coho,61731289.12,4462907,35392247
1988,Pink,141167456.7,50302446,177723467
1988,Sockeye,442373324.4,29976294,188160578
1989,Chinook,20737944.63,571186,11251333
1989,Chum,23841525.01,7730593,60156774
1989,Coho,27013655.79,4626727,33020661
1989,Pink,133466400.2,90066985,311131140
1989,Sockeye,369028019,44030349,260075918
